product_id,emoji,producto,marca,categoria,tier_declarado,funcion,puntos,banda_rubrica,zonas_por_defecto,irritante,justificacion,flags
"5e0fd428-5d22-41ed-91d9-bcd57fddad20","☀️","Heliocare 360 Opti D Gel SPF50","Heliocare","☀️ SPF Corporal","best","proteccion","null","variable (spfScoreOf)","cuerpo + manos","","Protección completa UVB+UVA+Visible+IR-A. La más efectiva para cuerpo y brazos. Gel ligero que absorbe rápido.",""
"b4b6743b-2aa6-468f-9662-b6d9d1cc1736","☀️","Isdin Fotoprotector Wet Skin SPF50+","ISDIN","☀️ SPF Corporal","ok","proteccion","null","variable (spfScoreOf)","cuerpo + manos","","Se aplica sobre piel mojada. Ideal para playa, piscina o tras el ejercicio. Fórmula transparente.",""
"d5332696-838e-4d79-9f4e-cde584f0aa91","🛡️","Barrier Support Serum","The Ordinary","✨ Serums AM","ok","barrera","65","55-74 soporte solido","cara","","Repairs and reinforces the skin barrier. Prevents redness and sensitivity from actives without reducing their effectiveness.",""
"914a738d-a1f7-4657-9f84-53be8ad64b66","","Centella Ampoule (viaje)","","✨ Serums AM","","barrera","55","55-74 soporte solido","cara","","","SIN justificacion — redactar"
"999186d7-a30e-42c4-914f-b0b76f619b58","✨","GlycoIsdin Serum","ISDIN","✨ Serums AM","good","aclarado","65","55-74 soporte solido","cara","si","Vitamin C + glycolic acid — brightens dark spots, boosts collagen, provides antioxidant protection against UV-triggered pigmentation.",""
"999186d7-a30e-42c4-914f-b0b76f619b58","✨","GlycoIsdin Serum","ISDIN","✨ Serums AM","good","textura","55","55-74 soporte solido","cara","si","Vitamin C + glycolic acid — brightens dark spots, boosts collagen, provides antioxidant protection against UV-triggered pigmentation.",""
"999186d7-a30e-42c4-914f-b0b76f619b58","✨","GlycoIsdin Serum","ISDIN","✨ Serums AM","good","firmeza","35","35-54 moderado","cara","si","Vitamin C + glycolic acid — brightens dark spots, boosts collagen, provides antioxidant protection against UV-triggered pigmentation.",""
"e26cc8e4-79da-4389-baac-852263e51007","🌟","Melascreen Serum","Ducray","✨ Serums AM","good","aclarado","70","55-74 soporte solido","cara","","Targets melanin overproduction at the source. Most effective layered directly under SPF to block the UV that would re-trigger pigmentation.",""
"1e59f9b3-18b8-4a98-91a0-376a0f8f72f8","🔵","Multi-Peptide + Copper Peptides 1% Serum","The Ordinary","✨ Serums AM","ok","firmeza","80","75-89 OTC fuerte","cara + cuello","","El GHK-Cu (péptido de cobre) tiene la evidencia más sólida de todos los péptidos cosméticos: estimula colágeno, elastina y glucosaminoglicanos de forma directa. También es antiinflamatorio y antioxidante. Los péptidos adicionales atacan la síntesis de colágeno desde múltiples vías simultáneamente. D",""
"1e59f9b3-18b8-4a98-91a0-376a0f8f72f8","🔵","Multi-Peptide + Copper Peptides 1% Serum","The Ordinary","✨ Serums AM","ok","textura","30","15-34 adyuvante marginal","cara + cuello","","El GHK-Cu (péptido de cobre) tiene la evidencia más sólida de todos los péptidos cosméticos: estimula colágeno, elastina y glucosaminoglicanos de forma directa. También es antiinflamatorio y antioxidante. Los péptidos adicionales atacan la síntesis de colágeno desde múltiples vías simultáneamente. D",""
"1e59f9b3-18b8-4a98-91a0-376a0f8f72f8","🔵","Multi-Peptide + Copper Peptides 1% Serum","The Ordinary","✨ Serums AM","ok","barrera","15","15-34 adyuvante marginal","cara + cuello","","El GHK-Cu (péptido de cobre) tiene la evidencia más sólida de todos los péptidos cosméticos: estimula colágeno, elastina y glucosaminoglicanos de forma directa. También es antiinflamatorio y antioxidante. Los péptidos adicionales atacan la síntesis de colágeno desde múltiples vías simultáneamente. D",""
"c74e3fdb-3665-438e-9cbb-574459d0e87f","🔆","Niacinamide 10% + Zinc 1% Serum","The Ordinary","✨ Serums AM","ok","textura","65","55-74 soporte solido","cara","","La niacinamida (vitamina B3) tiene evidencia clínica sólida al 10%: reduce la producción de sebo, minimiza la apariencia de los poros, frena la transferencia de melanina a la superficie (manchas), y refuerza la barrera cutánea. El zinc potencia el efecto seborreguladory añade acción antiinflamatoria",""
